,Date,Price
1,1996-05-01,111700.0
2,1996-06-01,111600.0
3,1996-07-01,111500.0
4,1996-08-01,111400.0
5,1996-09-01,111300.0
6,1996-10-01,111200.0
7,1996-11-01,111200.0
8,1996-12-01,111300.0
9,1997-01-01,111400.0
10,1997-02-01,111600.0
11,1997-03-01,111700.0
12,1997-04-01,111800.0
13,1997-05-01,112000.0
14,1997-06-01,112200.0
15,1997-07-01,112400.0
16,1997-08-01,112800.0
17,1997-09-01,113200.0
18,1997-10-01,113700.0
19,1997-11-01,114400.0
20,1997-12-01,115200.0
21,1998-01-01,116100.0
22,1998-02-01,116900.0
23,1998-03-01,117700.0
24,1998-04-01,118400.0
25,1998-05-01,119100.0
26,1998-06-01,119700.0
27,1998-07-01,120200.0
28,1998-08-01,120700.0
29,1998-09-01,121000.0
30,1998-10-01,121400.0
31,1998-11-01,121700.0
32,1998-12-01,122100.0
33,1999-01-01,122500.0
34,1999-02-01,122800.0
35,1999-03-01,123100.0
36,1999-04-01,123400.0
37,1999-05-01,123700.0
38,1999-06-01,124100.0
39,1999-07-01,124400.0
40,1999-08-01,124800.0
41,1999-09-01,125200.0
42,1999-10-01,125700.0
43,1999-11-01,126200.0
44,1999-12-01,126700.0
45,2000-01-01,127300.0
46,2000-02-01,127700.0
47,2000-03-01,128000.0
48,2000-04-01,128200.0
49,2000-05-01,128300.0
50,2000-06-01,128200.0
51,2000-07-01,128000.0
52,2000-08-01,127700.0
53,2000-09-01,127400.0
54,2000-10-01,127100.0
55,2000-11-01,126900.0
56,2000-12-01,126700.0
57,2001-01-01,126600.0
58,2001-02-01,126400.0
59,2001-03-01,126200.0
60,2001-04-01,125900.0
61,2001-05-01,125500.0
62,2001-06-01,125100.0
63,2001-07-01,124700.0
64,2001-08-01,124400.0
65,2001-09-01,124100.0
66,2001-10-01,124000.0
67,2001-11-01,124000.0
68,2001-12-01,124200.0
69,2002-01-01,124600.0
70,2002-02-01,124900.0
71,2002-03-01,125300.0
72,2002-04-01,125600.0
73,2002-05-01,125800.0
74,2002-06-01,126000.0
75,2002-07-01,126200.0
76,2002-08-01,126400.0
77,2002-09-01,126700.0
78,2002-10-01,127000.0
79,2002-11-01,127700.0
80,2002-12-01,128500.0
81,2003-01-01,129200.0
82,2003-02-01,129900.0
83,2003-03-01,130500.0
84,2003-04-01,130900.0
85,2003-05-01,131100.0
86,2003-06-01,131300.0
87,2003-07-01,131300.0
88,2003-08-01,131400.0
89,2003-09-01,131500.0
90,2003-10-01,131800.0
91,2003-11-01,132400.0
92,2003-12-01,133200.0
93,2004-01-01,134400.0
94,2004-02-01,135800.0
95,2004-03-01,137200.0
96,2004-04-01,138400.0
97,2004-05-01,139700.0
98,2004-06-01,141000.0
99,2004-07-01,142400.0
100,2004-08-01,143600.0
101,2004-09-01,144300.0
102,2004-10-01,144400.0
103,2004-11-01,143300.0
104,2004-12-01,140800.0
105,2005-01-01,137500.0
106,2005-02-01,134200.0
107,2005-03-01,131500.0
108,2005-04-01,129500.0
109,2005-05-01,128200.0
110,2005-06-01,127500.0
111,2005-07-01,127400.0
112,2005-08-01,127600.0
113,2005-09-01,128000.0
114,2005-10-01,128700.0
115,2005-11-01,129600.0
116,2005-12-01,131000.0
117,2006-01-01,132500.0
118,2006-02-01,134200.0
119,2006-03-01,135800.0
120,2006-04-01,137600.0
121,2006-05-01,139100.0
122,2006-06-01,140300.0
123,2006-07-01,141400.0
124,2006-08-01,142500.0
125,2006-09-01,143500.0
126,2006-10-01,144500.0
127,2006-11-01,145500.0
128,2006-12-01,146500.0
129,2007-01-01,147500.0
130,2007-02-01,148700.0
131,2007-03-01,150000.0
132,2007-04-01,151400.0
133,2007-05-01,152600.0
134,2007-06-01,153500.0
135,2007-07-01,154400.0
136,2007-08-01,155600.0
137,2007-09-01,156900.0
138,2007-10-01,157900.0
139,2007-11-01,158600.0
140,2007-12-01,159200.0
141,2008-01-01,159800.0
142,2008-02-01,160300.0
143,2008-03-01,160300.0
144,2008-04-01,160200.0
145,2008-05-01,159800.0
146,2008-06-01,159000.0
147,2008-07-01,158200.0
